probe_id,source,question_tag,query,item_text,esci_label,relevance_score,pair_group_id,expected_direction,target_tokens_query,target_tokens_item,notes,tag_reason,tag_confidence,tag_source
h_0001,handcrafted,brand_match,nike running shoes,Nike Pegasus 40 men's running shoes,E,3,grp_h_0001,should_rank_higher,nike|running,Nike|Pegasus,exact brand match,manual,high,manual_seed
h_0002,handcrafted,brand_match,nike running shoes,Adidas Duramo men's running shoes,I,0,grp_h_0001,should_rank_lower,nike|running,Adidas,brand mismatch,manual,high,manual_seed
h_0003,handcrafted,brand_match,samsung 65 inch tv,Samsung 65 inch QLED 4K Smart TV,E,3,grp_h_0002,should_rank_higher,samsung|65 inch,Samsung|QLED,brand and category match,manual,high,manual_seed
h_0004,handcrafted,brand_match,samsung 65 inch tv,LG 65 inch OLED Smart TV,S,2,grp_h_0002,should_rank_lower,samsung|65 inch,LG,competitor brand,manual,high,manual_seed
h_0005,handcrafted,attribute_match,iphone 14 case magsafe,Case for iPhone 14 with MagSafe ring,E,3,grp_h_0003,should_rank_higher,iphone 14|magsafe,iPhone 14|MagSafe,compatibility match,manual,high,manual_seed
h_0006,handcrafted,attribute_match,iphone 14 case magsafe,Case for iPhone 13 with magnetic back,I,0,grp_h_0003,should_rank_lower,iphone 14|magsafe,iPhone 13,wrong compatibility,manual,high,manual_seed
h_0007,handcrafted,attribute_match,usb c cable 2m,USB-C charging cable 2m braided,E,3,grp_h_0004,should_rank_higher,usb c|2m,USB-C|2m,spec exact,manual,high,manual_seed
h_0008,handcrafted,attribute_match,usb c cable 2m,USB-C charging cable 1m braided,S,2,grp_h_0004,should_rank_lower,usb c|2m,USB-C|1m,spec near miss,manual,high,manual_seed
h_0009,handcrafted,attribute_match,128gb microsd card,SanDisk microSDXC 128GB UHS-I card,E,3,grp_h_0005,should_rank_higher,128gb,128GB,capacity match,manual,high,manual_seed
h_0010,handcrafted,attribute_match,128gb microsd card,SanDisk microSDXC 64GB UHS-I card,I,0,grp_h_0005,should_rank_lower,128gb,64GB,capacity mismatch,manual,high,manual_seed
h_0011,handcrafted,negation,laptop sleeve without zipper,Laptop sleeve no zipper soft neoprene,E,3,grp_h_0006,should_rank_higher,without|zipper,no zipper,negation respected,manual,high,manual_seed
h_0012,handcrafted,negation,laptop sleeve without zipper,Laptop sleeve with heavy duty zipper,I,0,grp_h_0006,should_rank_lower,without|zipper,with zipper,negation contradiction,manual,high,manual_seed
h_0013,handcrafted,negation,coffee beans not decaf,Whole bean coffee medium roast non-decaf,E,3,grp_h_0007,should_rank_higher,not|decaf,non-decaf,negation respected,manual,high,manual_seed
h_0014,handcrafted,negation,coffee beans not decaf,Whole bean coffee decaf medium roast,I,0,grp_h_0007,should_rank_lower,not|decaf,decaf,negation contradiction,manual,high,manual_seed
h_0015,handcrafted,negation,wireless mouse without bluetooth,2.4G wireless mouse USB receiver only,E,3,grp_h_0008,should_rank_higher,without|bluetooth,USB receiver only,negation respected,manual,high,manual_seed
h_0016,handcrafted,negation,wireless mouse without bluetooth,Wireless mouse Bluetooth + USB dual mode,I,0,grp_h_0008,should_rank_lower,without|bluetooth,Bluetooth,negation contradiction,manual,high,manual_seed
h_0017,handcrafted,bundle_vs_canonical,toothbrush single,Electric toothbrush handle single unit,E,3,grp_h_0009,should_rank_higher,single,single unit,single intent,manual,high,manual_seed
h_0018,handcrafted,bundle_vs_canonical,toothbrush single,Electric toothbrush heads 8-pack bundle,I,0,grp_h_0009,should_rank_lower,single,8-pack bundle,bundle mismatch,manual,high,manual_seed
h_0019,handcrafted,bundle_vs_canonical,protein bars 12 pack,Protein bar variety pack 12 count,E,3,grp_h_0010,should_rank_higher,12 pack,12 count,bundle intent,manual,high,manual_seed
h_0020,handcrafted,bundle_vs_canonical,protein bars 12 pack,Single protein bar chocolate flavor,I,0,grp_h_0010,should_rank_lower,12 pack,single,bundle intent mismatch,manual,high,manual_seed
h_0021,handcrafted,bundle_vs_canonical,aa batteries pack of 24,AA alkaline batteries 24-pack,E,3,grp_h_0011,should_rank_higher,pack of 24,24-pack,bundle match,manual,high,manual_seed
h_0022,handcrafted,bundle_vs_canonical,aa batteries pack of 24,AA alkaline batteries 4-pack,S,2,grp_h_0011,should_rank_lower,pack of 24,4-pack,bundle size mismatch,manual,high,manual_seed
h_0023,handcrafted,brand_match,lego city police car,LEGO City Police Car Building Toy,E,3,grp_h_0012,should_rank_higher,lego city,LEGO City,brand entity match,manual,high,manual_seed
h_0024,handcrafted,brand_match,lego city police car,Generic city police car block set,I,0,grp_h_0012,should_rank_lower,lego city,Generic,entity mismatch,manual,high,manual_seed
esci_0000,esci,negation,#10 window envelopes not self seal,"Office Deed 500#10 Envelopes SELF SEAL Business Envelope Single Window Design, Security Tint Pattern for Secure Mailing, Invoices, Statements & Legal Document, 4-1/8 x 9-1/2 Inches",Exact,3,grp_0000,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0174,esci,negation,#10 window envelopes not self seal,"Ohuhu 500 Pack # 8 Double Window Envelope SELF SEAL Adhesive Tinted Security Envelopes Quickbooks Check, Business Check, Documents Secure Mailing, 3 5/8"" x 8 11/16"", White Envelope",Irrelevant,0,grp_0000,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0140,esci,negation,#1 best and not expensive bath back brush cream color,"Chikoni Dry Bath Body Brush Back Scrubber with Anti-slip Long Wooden Handle, 100% Natural Bristles Body Massager, Perfect for Exfoliating, Detox and Cellulite, Blood Circulation, Good for Health",Exact,3,grp_0001,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0003,esci,negation,#1 best and not expensive bath back brush cream color,"Holikme 20Piece Drill Brush Attachments Set, Scrub Pads & Sponge, Buffing Pads, Power Scrubber Brush with Extend Long Attachment, Car Polishing Pad Kit",Irrelevant,0,grp_0001,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0288,esci,negation,people not a fan shirt,Disagree Graphic Novelty Sarcastic Funny T Shirt XL Black,Exact,3,grp_0002,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0189,esci,negation,people not a fan shirt,I Got Your Back Graphic Novelty Sarcastic Funny T Shirt XL Black1,Irrelevant,0,grp_0002,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0007,esci,negation,10 open window envelopes without plastic window,"Clear Plastic Small Blank Envelope Pouch for Packing List - Return Label (Not for standard shipping labels) , Documents Keeps Paper Safe While Shipping Size 4” x 6” by MT Products (100 Pieces)",Exact,3,grp_0003,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0154,esci,negation,10 open window envelopes without plastic window,"500#10 Double Window Security Business Mailing Envelopes - for Invoices, Statements and Legal Documents - GUMMED Closure, Security Tinted - Size 4-1/8 x 9-1/2 - White - 24 LB - 500 Count (30101)",Substitute,2,grp_0003,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0013,esci,negation,#2 pencils with erasers sharpened not soft,"BIC Xtra-Fun Graphite Pencil, 2 Lead, 18-Count",Exact,3,grp_0004,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0182,esci,negation,#2 pencils with erasers sharpened not soft,"Ticonderoga Beginner Pencils, Wood-Cased #2 HB Soft, With Eraser, Yellow, 12-Pack (13308)",Substitute,2,grp_0004,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0014,esci,negation,# 2 pencils not sharpened,"Rarlan Wood-Cased #2 HB Pencils, Pre-sharpened, 200 Count Classpack",Exact,3,grp_0005,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0315,esci,negation,# 2 pencils not sharpened,"Emraw Pre Sharpened Triangular Primary Size No 2 Jumbo Pencils for Preschoolers, Elementary Kids - Pack of 6 Fat Pencils with Bonus Sharpener",Irrelevant,0,grp_0005,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0022,esci,negation,#10 window envelopes without plastic,"500#10 Double Window Security Business Mailing Envelopes - for Invoices, Statements and Legal Documents - GUMMED Closure, Security Tinted - Size 4-1/8 x 9-1/2 - White - 24 LB - 500 Count (30101)",Exact,3,grp_0006,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0198,esci,negation,#10 window envelopes without plastic,"Clear Plastic Small Blank Envelope Pouch for Packing List - Return Label (Not for standard shipping labels) , Documents Keeps Paper Safe While Shipping Size 4” x 6” by MT Products (100 Pieces)",Irrelevant,0,grp_0006,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0117,esci,unclassified,session in progress do not disturb sign,"2 Pack Do Not Disturb Door Hanger Sign Funny, Meeting in Progress Door Sign PSLER Black and White Ideal for Therapy, Sleeping, Session in Progress,Spa Treatment, 8.86X3.35 inches PVC Hanging Sign",Exact,3,grp_0007,should_rank_higher,,,esci_sample,openai_judge,heuristic,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0024,esci,other_lexical,session in progress do not disturb sign,"WSNIHO Do Not Disturb Door Sign, Double Sided Decorative Wood Sign for Home, Offices, Clinics, Law Firms, Hotels or During Therapy, Spa Treatment, Counseling Sessions (10""x 5"")",Substitute,2,grp_0007,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0082,esci,negation,#1 selling shoes for men without shoeleases,"Skechers USA Men's Expected Gomel Slip-on Loafer,Black,9.5 2W US",Exact,3,grp_0008,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0048,esci,negation,#1 selling shoes for men without shoeleases,"New Balance Men's 813 V1 Lace-Up Walking Shoe, Black/Black, 13 XXW US",Irrelevant,0,grp_0008,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0028,esci,negation,#1 small corded treadmill without remote control,"SUNNY HEALTH & FITNESS ASUNA Space Saving Treadmill, Motorized with Speakers for AUX Audio Connection - 8730G",Exact,3,grp_0009,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0072,esci,negation,#1 small corded treadmill without remote control,"Egofit Walker Pro Smallest Under Desk Electric Walking Treadmill for Home, Small & Compact Treadmill to Fit Desk Perfectly and Home & Office with APP & Remote Contro",Irrelevant,0,grp_0009,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0030,esci,negation,michela wrong do not disturb,Do Not Disturb: The Story of a Political Murder and an African Regime Gone Bad,Exact,3,grp_0010,should_rank_higher,,,esci_sample,openai_judge,heuristic,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0183,esci,negation,michela wrong do not disturb,"Do Not Disturb Door Hanger Sign, Please Do Not Disturb Door Knob Sign for Meeting in Session, Office, Home, Clinic, Therapists, Hotel, Health Care,2 Pack (Grey and Green)",Irrelevant,0,grp_0010,should_rank_lower,,,esci_sample,openai_judge,heuristic,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0031,esci,negation,# 10 self-seal envelopes without window,"EnDoc 10x13 Open End Self Seal Envelopes - 15 Pack - White 28lb Heavyweight Paper, For Home, Mailing Documents, Office, Business, Legal, or School.",Exact,3,grp_0011,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0055,esci,negation,# 10 self-seal envelopes without window,"Ohuhu 500 Pack # 8 Double Window Envelope SELF SEAL Adhesive Tinted Security Envelopes Quickbooks Check, Business Check, Documents Secure Mailing, 3 5/8"" x 8 11/16"", White Envelope",Irrelevant,0,grp_0011,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0149,esci,other_lexical,classroom friendly supplies pencil sharpener,"Wood-Cased #2 HB Pencils, Yellow, Pre-sharpened, Class Pack, 576 pencils in box by Madisi",Complement,1,grp_0012,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0276,esci,other_lexical,classroom friendly supplies pencil sharpener,"Ticonderoga Beginner Pencils, Wood-Cased #2 HB Soft, With Eraser, Yellow, 12-Pack (13308)",Irrelevant,0,grp_0012,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0109,esci,other_lexical,parting crowd black friday shirt,Never Forget Graphic Novelty Sarcastic Funny T Shirt L Charcoal,Substitute,2,grp_0013,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0006,esci,attribute_match,parting crowd black friday shirt,Currently Unsupervised Novelty Graphic Sarcastic Funny T Shirt XL Black,Irrelevant,0,grp_0013,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0345,esci,other_lexical,# mom life,"Mom Life Car Decal- Pink, Mint Green, or White - Cute Sticker for Women - 6"" Size for Laptop or Window (White)",Exact,3,grp_0014,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
